,variable,r_left,r,pvalue
5,meio_transporte ONIBUS 2018,"(0.7876884717321231, 4.271614508462964e-12)",0.7876884717321231,4.271614508462964e-12
6,"meio_transporte ONIBUS,CARRO 2018","(0.8560400570405601, 6.102659321118945e-16)",0.8560400570405601,6.102659321118945e-16
11,grupo_comunitario OUTROS 2018,"(0.7440454721934794, 2.6013497615743536e-10)",0.7440454721934794,2.6013497615743536e-10
12,grupo_comunitario GRUPO RELIGIOSO 2018,"(0.8026622331045908, 8.305491643281637e-13)",0.8026622331045908,8.305491643281637e-13
13,grupo_comunitario NAO PARTICIPA 2018,"(0.9226468207886699, 2.473105935990255e-22)",0.9226468207886699,2.473105935990255e-22
16,fezes_urina SISTEMA DE ESGOTO 2018,"(0.9621296746666772, 6.951054875670333e-30)",0.9621296746666772,6.951054875670333e-30
19,destino_lixo COLETADO 2018,"(0.9609564349224048, 1.4700276039929015e-29)",0.9609564349224048,1.4700276039929015e-29
22,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2018,"(0.9378529853037582, 1.2460629443028625e-24)",0.9378529853037582,1.2460629443028625e-24
24,abastecimento REDE PÚBLICA 2018,"(0.9658561262636662, 5.44986056381242e-31)",0.9658561262636662,5.44986056381242e-31
25,tratamento_domicilio FILTRACAO 2018,"(0.735589306055574, 5.247735863236043e-10)",0.735589306055574,5.247735863236043e-10
26,tratamento_domicilio CLORACAO 2018,"(0.7695623900644948, 2.623868909406145e-11)",0.7695623900644948,2.623868909406145e-11
27,tratamento_domicilio SEM TRATAMENTO 2018,"(0.89459827086236, 4.0338236165536704e-19)",0.89459827086236,4.0338236165536704e-19
100,sexo M 2018,"(0.9495171630377691, 7.918522351001929e-27)",0.9495171630377691,7.918522351001929e-27
101,sexo F 2018,"(0.9570839780883417, 1.4938056344078804e-28)",0.9570839780883417,1.4938056344078804e-28
