,variable,r_left,r,pvalue
3,meio_transporte ONIBUS 2019,"(0.7276347895709705, 9.915595402128491e-10)",0.7276347895709705,9.915595402128491e-10
7,nacionalidade Brasileira 2019,"(0.996088137823217, 2.3227460771304954e-54)",0.996088137823217,2.3227460771304954e-54
10,grupo_comunitario NAO PARTICIPA 2019,"(0.8190793851792988, 1.1653113688195902e-13)",0.8190793851792988,1.1653113688195902e-13
12,grupo_comunitario OUTROS 2019,"(0.7587895404046168, 7.152449000368653e-11)",0.7587895404046168,7.152449000368653e-11
15,fezes_urina SISTEMA DE ESGOTO 2019,"(0.9306679120407267, 1.7630058687442343e-23)",0.9306679120407267,1.7630058687442343e-23
17,destino_lixo COLETADO 2019,"(0.9534326355407272, 1.1019559258201255e-27)",0.9534326355407272,1.1019559258201255e-27
22,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2019,"(0.9193755449108851, 6.697968955694003e-22)",0.9193755449108851,6.697968955694003e-22
24,abastecimento REDE PÚBLICA 2019,"(0.9534326355407272, 1.1019559258201255e-27)",0.9534326355407272,1.1019559258201255e-27
27,tratamento_domicilio SEM TRATAMENTO 2019,"(0.8750335489759263, 2.242849671867869e-17)",0.8750335489759263,2.242849671867869e-17
49,bairro TATUQUARA                                          2019,"(0.7623576150889125, 5.1611064272173005e-11)",0.7623576150889125,5.1611064272173005e-11
53,sexo F 2019,"(0.8577253694447685, 4.642024963622753e-16)",0.8577253694447685,4.642024963622753e-16
