,variable,r_left,r,pvalue
11,"meio_transporte ONIBUS,CARRO 2017","(0.8456188622089339, 3.0778433846646104e-15)",0.8456188622089339,3.0778433846646104e-15
12,meio_transporte ONIBUS 2017,"(0.9434081438716394, 1.280875081917598e-25)",0.9434081438716394,1.280875081917598e-25
15,grupo_comunitario OUTROS 2017,"(0.7130982194654767, 3.0011039510036484e-09)",0.7130982194654767,3.0011039510036484e-09
17,grupo_comunitario NAO PARTICIPA 2017,"(0.9683235387250874, 8.600786924930602e-32)",0.9683235387250874,8.600786924930602e-32
21,fezes_urina SISTEMA DE ESGOTO 2017,"(0.9801532008653419, 8.28667715754878e-37)",0.9801532008653419,8.28667715754878e-37
25,destino_lixo COLETADO 2017,"(0.9852752235563229, 5.049063475224498e-40)",0.9852752235563229,5.049063475224498e-40
31,tipo_habitacao MADEIRA APARELHADA 2017,"(0.7065456544430561, 4.8370707783829226e-09)",0.7065456544430561,4.8370707783829226e-09
33,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2017,"(0.9727713014372255, 2.0624848075947956e-33)",0.9727713014372255,2.0624848075947956e-33
36,abastecimento REDE PÚBLICA 2017,"(0.9844303280154021, 2.0170461483949214e-39)",0.9844303280154021,2.0170461483949214e-39
38,tratamento_domicilio FILTRACAO 2017,"(0.8480977231597205, 2.117703037464693e-15)",0.8480977231597205,2.117703037464693e-15
39,tratamento_domicilio SEM TRATAMENTO 2017,"(0.9420217469834199, 2.307541790748487e-25)",0.9420217469834199,2.307541790748487e-25
40,tratamento_domicilio CLORACAO 2017,"(0.8573462049459595, 4.938216458049587e-16)",0.8573462049459595,4.938216458049587e-16
143,bairro NOVO MUNDO 2017,"(0.7230420309756085, 1.4175443692065329e-09)",0.7230420309756085,1.4175443692065329e-09
154,bairro CIDADE INDUSTRIAL 2017,"(0.8143113681202997, 2.1026808016728422e-13)",0.8143113681202997,2.1026808016728422e-13
156,bairro BOQUEIRAO                                          2017,"(0.7315052081806235, 7.295777210226843e-10)",0.7315052081806235,7.295777210226843e-10
158,bairro CAPAO RASO 2017,"(0.7229362844936691, 1.4291381254442054e-09)",0.7229362844936691,1.4291381254442054e-09
166,bairro PINHEIRINHO                                        2017,"(0.7739045298638715, 1.724721161860818e-11)",0.7739045298638715,1.724721161860818e-11
167,sexo F 2017,"(0.9701967341978119, 1.91531709637021e-32)",0.9701967341978119,1.91531709637021e-32
168,sexo M 2017,"(0.950923493096539, 3.972877384085896e-27)",0.950923493096539,3.972877384085896e-27
