,variable,r_left,r,pvalue
14,"meio_transporte ONIBUS,CARRO 2019","(0.9244793546622533, 1.3881964143010828e-22)",0.9244793546622533,1.3881964143010828e-22
15,meio_transporte ONIBUS 2019,"(0.9496547040736162, 7.408469591519772e-27)",0.9496547040736162,7.408469591519772e-27
18,nacionalidade Brasileira 2019,"(0.9992574660803866, 2.1888676976361441e-72)",0.9992574660803866,2.1888676976361441e-72
20,grupo_comunitario GRUPO RELIGIOSO 2019,"(0.7941890702880604, 2.133101490097291e-12)",0.7941890702880604,2.133101490097291e-12
21,grupo_comunitario OUTROS 2019,"(0.8939222220621696, 4.694310589810141e-19)",0.8939222220621696,4.694310589810141e-19
23,grupo_comunitario NAO PARTICIPA 2019,"(0.9789512045467591, 3.554010747279261e-36)",0.9789512045467591,3.554010747279261e-36
25,fezes_urina FOSSA SÉPTICA 2019,"(0.700453232074581, 7.453278119667789e-09)",0.700453232074581,7.453278119667789e-09
28,fezes_urina SISTEMA DE ESGOTO 2019,"(0.9914528511658758, 6.739839288019562e-46)",0.9914528511658758,6.739839288019562e-46
32,destino_lixo COLETADO 2019,"(0.991866791513212, 1.957707758695279e-46)",0.991866791513212,1.957707758695279e-46
39,tipo_habitacao TIJOLO/ALVENARIA COM REVESTIMENTO 2019,"(0.987743169061318, 5.2953297826252806e-42)",0.987743169061318,5.2953297826252806e-42
43,abastecimento REDE PÚBLICA 2019,"(0.9923278681955787, 4.575310996928333e-47)",0.9923278681955787,4.575310996928333e-47
45,tratamento_domicilio FILTRACAO 2019,"(0.8615335833346983, 2.4691035759192107e-16)",0.8615335833346983,2.4691035759192107e-16
46,tratamento_domicilio SEM TRATAMENTO 2019,"(0.9663860898997523, 3.7088524233715136e-31)",0.9663860898997523,3.7088524233715136e-31
47,tratamento_domicilio CLORACAO 2019,"(0.9108471740695324, 7.467339002961614e-21)",0.9108471740695324,7.467339002961614e-21
180,bairro CIDADE INDUSTRIAL 2019,"(0.7688670963025098, 2.8038455994603472e-11)",0.7688670963025098,2.8038455994603472e-11
181,bairro BOQUEIRAO                                          2019,"(0.7150446836625507, 2.597747214570313e-09)",0.7150446836625507,2.597747214570313e-09
191,sexo F 2019,"(0.9793680795006053, 2.16589966395207e-36)",0.9793680795006053,2.16589966395207e-36
192,sexo M 2019,"(0.9668167637280741, 2.7003763132198164e-31)",0.9668167637280741,2.7003763132198164e-31
